brightness,number22,acq_time,confidence,bright_t31,frp,type
327,261,440,59,289.9,10.2,2
307.9,262,523,67,297,7.5,0
333.9,263,855,29,297.9,5.9,0
329.7,264,514,72,302.7,10.3,0
351.1,265,838,86,309.9,28.5,0
320.5,266,501,36,306.8,10.4,0
338.5,267,2040,54,291.1,4.1,0
330.9,268,448,0,302.4,12.3,0
331.5,269,814,28,296.1,6.9,0
334.3,270,1705,55,293,4.3,0
326.5,271,801,53,284.7,14.1,0
340.7,272,423,38,290.2,36.9,0
310.9,273,504,52,295.1,7.1,0
333.2,274,547,34,300.4,7.8,0
323.3,275,452,0,297.5,6.7,0
324.2,276,536,57,297.8,5.6,0
316.2,277,2110,70,295.2,8.7,0
316.5,278,524,36,295.7,11.3,0
330.5,279,1657,81,289.6,9.1,0
331.3,280,514,66,309.3,8.9,0
302.1,281,1645,48,287.4,7.3,0
328.7,282,459,0,298.8,10.6,0
321.5,283,542,43,289.1,20.5,0
324.1,284,728,58,296.4,12.5,0
326.5,285,809,55,295.8,7.9,0
309.1,286,857,57,299.2,26.1,0
327.1,287,755,27,294.3,29.8,0
320.6,288,703,0,292.3,63.3,0
333.8,289,745,0,295.8,19,0
338.5,290,829,71,310.9,9,0
300.4,291,735,59,298,13.7,0
306.2,292,812,58,297,12.1,0
321.8,293,2109,25,281.7,11.2,0
324.6,294,800,72,297,12,0
307.7,295,707,0,296.5,31.6,0
335.9,296,748,65,304.6,29.8,0
301.6,297,829,71,300.7,12.7,0
321.4,298,444,65,303.3,20.2,0
303.1,299,816,77,302.5,18.7,0
312.2,300,1656,90,295.1,12.1,0
318.8,301,510,63,298.8,5.8,0
316.1,302,847,45,298.7,20.7,0
315.9,303,453,55,296.7,12,0
313.6,304,834,73,301.4,22.4,0
316.1,305,1707,68,290.4,8,0
321.3,306,520,0,288.3,6.1,0
313.9,307,1651,63,290.4,9.5,0
311.6,308,808,11,285.7,5.4,0
314.9,309,544,59,299.2,9.5,0
321.1,310,756,56,303,22.1,0
324.4,311,838,54,303.6,5.9,0
318.6,312,1700,62,289.8,6.9,0
